request_symbol,name,asset_class_refined,primary_strategy,management_style,start_date,end_date,initial_leverage,terminal_wealth,spy_terminal_wealth,ruined,first_non_positive_date,minimum_equity,minimum_margin_ratio,illustrative_25pct_maintenance_breach,terminal_debt_index,cagr,sortino,calmar,martin,direction,breadth,dbf_signed,dbf,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_cagr,beat_spy_cagr,spy_sortino,beat_spy_sortino,spy_calmar,beat_spy_calmar,spy_martin,beat_spy_martin,beat_spy_cagr_and_martin,spy_rwm_score,beat_spy_rwm_score,beat_spy_cagr_and_rwm,beat_spy_all_four
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,alternatives,long_short_market_neutral,index_passive_identified,2020-05-11,2026-08-28,1.0,1.9693876911904487,2.875528763337285,False,,0.9771987483484683,1.0,False,1.329078955833851,0.11362793755526224,1.633381387401218,0.9726913551109418,4.146874286618306,0.09753862349479368,0.4782567375434553,0.04664850385709945,0.04664850385709945,0.6307825091535089,0.08075865653481062,0.03339936906386272,2.417969524525823,0.18261905395869915,False,1.5562031122317548,True,0.745493778436832,True,2.3990744828825643,True,False,1.7443685564966769,True,False,False
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,alternatives,long_short_market_neutral,index_passive_identified,2020-05-11,2026-08-28,1.25,2.129464875029598,2.875528763337285,False,,0.9711632181354032,0.7950589128581955,False,1.329078955833851,0.1275341624926205,1.5379612720848088,0.9013271397600082,3.7829920061273334,0.09098226674815472,0.476348237763306,0.043339242433194536,0.043339242433194536,0.763336943553186,0.09425443234460573,0.04020150641904985,2.344549762939789,0.18261905395869915,False,1.5562031122317548,False,0.745493778436832,True,2.3990744828825643,True,False,1.7443685564966769,True,False,False
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,alternatives,long_short_market_neutral,index_passive_identified,2020-05-11,2026-08-28,1.5,2.2895420588687476,2.875528763337285,False,,0.9651276879223383,0.6584315214303259,False,1.329078955833851,0.14058714571376152,1.4784772973329077,0.8580080302019883,3.5576240270403163,0.08662442004836049,0.4744455474061463,0.041098570388584346,0.041098570388584346,0.895891377952863,0.10692215029070984,0.046333760866645854,2.307651014957423,0.18261905395869915,False,1.5562031122317548,False,0.745493778436832,True,2.3990744828825643,True,False,1.7443685564966769,True,False,False
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,alternatives,long_short_market_neutral,index_passive_identified,2020-05-11,2026-08-28,1.75,2.449619242707897,2.875528763337285,False,,0.9590921577092731,0.5608405275532761,False,1.329078955833851,0.15289373247876936,1.4390672311810926,0.830034248365935,3.410272636109925,0.08352754356367155,0.4725085098399461,0.039467475139861624,0.039467475139861624,1.02844581235254,0.11886550204235258,0.05189175333903434,2.290643395025522,0.18261905395869915,False,1.5562031122317548,False,0.745493778436832,True,2.3990744828825643,True,False,1.7443685564966769,True,False,False
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,alternatives,long_short_market_neutral,index_passive_identified,2020-05-11,2026-08-28,2.0,2.609696426547046,2.875528763337285,False,,0.953056627496208,0.48764728214548875,False,1.329078955833851,0.1645414290869165,1.4118931937755852,0.811343367868562,3.3087965805237887,0.08122037540074238,0.47052688503610784,0.03821637023877463,0.03821637023877463,1.1610002467522165,0.13016941110697355,0.056954845143055884,2.2854844180512046,0.18261905395869915,False,1.5562031122317548,False,0.745493778436832,True,2.3990744828825643,True,False,1.7443685564966769,True,False,False
TEQI,T. Rowe Price Equity Income ETF,equity,dividend_or_income,active_identified,2020-08-05,2026-08-28,1.0,2.37853065624277,2.5214750224557725,False,,0.9487360393472513,1.0,False,1.3240786063363301,0.15366434733038248,1.5273082407204004,0.8622502033237054,3.1130352649414244,0.08193991653709512,0.5426590976651442,0.04446544117077726,0.04446544117077726,0.9699463825706311,0.1183455131820903,0.06185593762450205,1.9132441884643245,0.16482524664168086,False,1.4481969350802244,True,0.6728552866585263,True,2.12869532176112,True,False,1.4988821924914322,True,False,False
TEQI,T. Rowe Price Equity Income ETF,equity,dividend_or_income,active_identified,2020-08-05,2026-08-28,1.25,2.64214366871938,2.5214750224557725,False,,0.9353776681051371,0.7887358584996477,False,1.3240786063363301,0.1738428156687184,1.4829770313165278,0.8375093907362061,2.9144717582749218,0.07845278047156319,0.537914994158681,0.0422009269490932,0.0422009269490932,1.1882759210038918,0.137906228203998,0.07249823904505168,1.9022010744054163,0.16482524664168086,True,1.4481969350802244,True,0.6728552866585263,True,2.12869532176112,True,True,1.4988821924914322,True,True,True
TEQI,T. Rowe Price Equity Income ETF,equity,dividend_or_income,active_identified,2020-08-05,2026-08-28,1.5,2.9057566811959896,2.5214750224557725,False,,0.9220192968630232,0.6478930974994128,False,1.3240786063363301,0.19240462446829465,1.4593351077377343,0.8270240726207511,2.8050043285598196,0.07623018455453856,0.5330772825306793,0.04063657962914558,0.04063657962914558,1.4066054594371522,0.15589977687834677,0.08162353050797826,1.9099857101024125,0.16482524664168086,True,1.4481969350802244,True,0.6728552866585263,True,2.12869532176112,True,True,1.4988821924914322,True,True,True
TEQI,T. Rowe Price Equity Income ETF,equity,dividend_or_income,active_identified,2020-08-05,2026-08-28,1.75,3.1693696936726,2.5214750224557725,False,,0.908660925620909,0.5472911253563879,False,1.3240786063363301,0.2096096839427506,1.4467722132693128,0.8242170155229486,2.742033986312918,0.07472562282590957,0.5281323628286754,0.03946501974689202,0.03946501974689202,1.624934997870413,0.1725781124027248,0.0895416068009029,1.9273510781022147,0.16482524664168086,True,1.4481969350802244,False,0.6728552866585263,True,2.12869532176112,True,True,1.4988821924914322,True,True,False
TEQI,T. Rowe Price Equity Income ETF,equity,dividend_or_income,active_identified,2020-08-05,2026-08-28,2.0,3.4329827061492098,2.5214750224557725,False,,0.8953025543787949,0.47183964624911917,False,1.3240786063363301,0.22565851047680585,1.440597001378741,0.8259151466317882,2.706687426191924,0.07366449900879771,0.5230804552732291,0.03853245967899624,0.03853245967899624,1.843264536303674,0.18813561245699195,0.09648466478208467,1.9499017059540542,0.16482524664168086,True,1.4481969350802244,False,0.6728552866585263,True,2.12869532176112,True,True,1.4988821924914322,True,True,False
