dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
exposure_type,emerging_market_debt,11,11,0,-0.12236086602927543,-1.7842545314765341,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,industrial_metals,11,11,0,-0.07995154418612271,-1.941374461698374,1,0.09090909090909091,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,energy_commodities,9,9,0,-0.14312229368551788,-1.1462966809120239,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,risk_managed_alternative,9,9,0,-0.1342709108066038,-1.8236247856204124,0,0.0,2,0.2222222222222222,2,0.2222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,agriculture,8,8,0,-0.1739098411691546,-2.425980940758957,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,unclassified,7,7,0,-0.08436793959698963,-1.1143400353881354,1,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,long_short_market_neutral,6,6,0,-0.05438137951981892,0.518586064063442,1,0.16666666666666666,3,0.5,3,0.5,4,0.6666666666666666,3,0.5,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666
exposure_type,managed_futures,4,4,0,-0.1055352349864469,-1.7996588257892343,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,alternative_income,3,3,0,-0.029161265258333735,-0.02264232233504737,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333
exposure_type,cash_and_t_bills,3,3,0,-0.1347390395683461,33.977521933551216,0,0.0,3,1.0,3,1.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,merger_arbitrage,2,2,0,-0.12753119674904878,-0.4957211966784334,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,absolute_return,1,1,0,-0.11501853638639403,-1.7590878934293026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
exposure_type,other_alternative,1,1,0,-0.07791975295920106,-1.5051351719113797,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,other_equity,545,523,22,-0.04653801009236935,-0.8297950924749928,64,0.11743119266055047,51,0.09357798165137615,69,0.12660550458715597,56,0.10275229357798166,53,0.09724770642201835,29,0.05321100917431193,26,0.047706422018348627,19,0.03486238532110092
primary_strategy,factor_or_style,319,307,12,-0.02857541861519519,-0.5759476193279609,49,0.1536050156739812,29,0.09090909090909091,41,0.12852664576802508,44,0.13793103448275862,45,0.14106583072100312,24,0.07523510971786834,23,0.07210031347962383,16,0.050156739811912224
primary_strategy,sector_or_industry,213,212,1,-0.032531626879542586,-0.8368388482237955,47,0.22065727699530516,22,0.10328638497652583,33,0.15492957746478872,20,0.09389671361502347,26,0.12206572769953052,16,0.07511737089201878,12,0.056338028169014086,9,0.04225352112676056
primary_strategy,dividend_or_income,150,144,6,-0.05329104630127823,-0.7509612276356648,4,0.02666666666666667,9,0.06,12,0.08,24,0.16,12,0.08,3,0.02,3,0.02,1,0.006666666666666667
primary_strategy,thematic_equity,70,61,9,-0.04559627160343682,-1.2899115714673597,13,0.18571428571428572,1,0.014285714285714285,7,0.1,1,0.014285714285714285,3,0.04285714285714286,3,0.04285714285714286,1,0.014285714285714285,1,0.014285714285714285
primary_strategy,other_fixed_income,65,63,2,-0.12192183320197869,-1.3481258053443772,0,0.0,16,0.24615384615384617,10,0.15384615384615385,13,0.2,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,corporate_bonds,55,51,4,-0.12427931420581406,-1.680244388806059,0,0.0,5,0.09090909090909091,2,0.03636363636363636,3,0.05454545454545454,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,target_maturity,51,51,0,-0.12872771473784517,-1.511832904451069,0,0.0,4,0.0784313725490196,1,0.0196078431372549,2,0.0392156862745098,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,high_yield_bonds,46,44,2,-0.099003009485642,-1.0004494352099123,0,0.0,1,0.021739130434782608,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,municipal_bonds,46,45,1,-0.12193391557366129,-1.3874506344789244,0,0.0,3,0.06521739130434782,6,0.13043478260869565,7,0.15217391304347827,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,currency,42,41,1,-0.05633778771276521,-0.8219719292651253,0,0.0,1,0.023809523809523808,2,0.047619047619047616,1,0.023809523809523808,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,aggregate_bonds,38,37,1,-0.13499344070154373,-1.7008543346256992,0,0.0,3,0.07894736842105263,1,0.02631578947368421,1,0.02631578947368421,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,real_estate,37,36,1,-0.08394963217374984,-1.4888783643890904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,precious_metals,34,34,0,-0.046020144811126484,-1.4238215994421544,8,0.23529411764705882,8,0.23529411764705882,8,0.23529411764705882,4,0.11764705882352941,4,0.11764705882352941,4,0.11764705882352941,4,0.11764705882352941,4,0.11764705882352941
primary_strategy,factor_style_or_income,30,28,2,-0.027408702580153266,-0.634979642327955,4,0.13333333333333333,2,0.06666666666666667,4,0.13333333333333333,1,0.03333333333333333,1,0.03333333333333333,0,0.0,0,0.0,0,0.0
